"trial_number","mean_RT","sd_RT","n","se","upper","lower","model","fit"
32,2718.01518072289,1679.30001665209,83,184.327123628491,2902.34230435138,2533.6880570944,"softmax(Q * gaze)",2429.70922984259
32,2718.01518072289,1679.30001665209,83,184.327123628491,2902.34230435138,2533.6880570944,"softmax(Q) * gaze",2545.84747511195
32,2718.01518072289,1679.30001665209,83,184.327123628491,2902.34230435138,2533.6880570944,"softmax(Q) + gaze",2404.4488253863
32,2718.01518072289,1679.30001665209,83,184.327123628491,2902.34230435138,2533.6880570944,"softmax(Q + gaze)",2393.54468600094
33,2565.78913580247,1353.61215755492,81,150.401350839436,2716.1904866419,2415.38778496303,"Q",2517.24844483017
33,2565.78913580247,1353.61215755492,81,150.401350839436,2716.1904866419,2415.38778496303,"Q * gaze",2586.14156099712
33,2565.78913580247,1353.61215755492,81,150.401350839436,2716.1904866419,2415.38778496303,"Q + gaze",2510.24101441453
33,2565.78913580247,1353.61215755492,81,150.401350839436,2716.1904866419,2415.38778496303,"softmax(Q)",2454.90181654691
33,2565.78913580247,1353.61215755492,81,150.401350839436,2716.1904866419,2415.38778496303,"softmax(Q * gaze)",2447.74657372081
33,2565.78913580247,1353.61215755492,81,150.401350839436,2716.1904866419,2415.38778496303,"softmax(Q) * gaze",2548.51733117527
33,2565.78913580247,1353.61215755492,81,150.401350839436,2716.1904866419,2415.38778496303,"softmax(Q) + gaze",2442.29828842615
33,2565.78913580247,1353.61215755492,81,150.401350839436,2716.1904866419,2415.38778496303,"softmax(Q + gaze)",2448.27936222749
34,2560.29301204819,1755.48043369464,83,192.689010730873,2752.98202277907,2367.60400131732,"Q",2457.38827741144
34,2560.29301204819,1755.48043369464,83,192.689010730873,2752.98202277907,2367.60400131732,"Q * gaze",2581.23285410366
34,2560.29301204819,1755.48043369464,83,192.689010730873,2752.98202277907,2367.60400131732,"Q + gaze",2436.48014213539
34,2560.29301204819,1755.48043369464,83,192.689010730873,2752.98202277907,2367.60400131732,"softmax(Q)",2440.66718698941
34,2560.29301204819,1755.48043369464,83,192.689010730873,2752.98202277907,2367.60400131732,"softmax(Q * gaze)",2453.65659703675
34,2560.29301204819,1755.48043369464,83,192.689010730873,2752.98202277907,2367.60400131732,"softmax(Q) * gaze",2561.19542842634
34,2560.29301204819,1755.48043369464,83,192.689010730873,2752.98202277907,2367.60400131732,"softmax(Q) + gaze",2407.65484914656
34,2560.29301204819,1755.48043369464,83,192.689010730873,2752.98202277907,2367.60400131732,"softmax(Q + gaze)",2440.27630753143
35,2386.12134146341,1264.9591522559,82,139.691369605963,2525.81271106938,2246.42997185745,"Q",2457.24935758706
35,2386.12134146341,1264.9591522559,82,139.691369605963,2525.81271106938,2246.42997185745,"Q * gaze",2585.99218508488
35,2386.12134146341,1264.9591522559,82,139.691369605963,2525.81271106938,2246.42997185745,"Q + gaze",2449.89038958031
35,2386.12134146341,1264.9591522559,82,139.691369605963,2525.81271106938,2246.42997185745,"softmax(Q)",2417.52152325209
35,2386.12134146341,1264.9591522559,82,139.691369605963,2525.81271106938,2246.42997185745,"softmax(Q * gaze)",2436.14645900277
35,2386.12134146341,1264.9591522559,82,139.691369605963,2525.81271106938,2246.42997185745,"softmax(Q) * gaze",2582.26107463517
35,2386.12134146341,1264.9591522559,82,139.691369605963,2525.81271106938,2246.42997185745,"softmax(Q) + gaze",2422.02218642507
35,2386.12134146341,1264.9591522559,82,139.691369605963,2525.81271106938,2246.42997185745,"softmax(Q + gaze)",2423.65360910581
36,2432.64156626506,1405.45630099916,83,154.268870827021,2586.91043709208,2278.37269543804,"Q",2529.83513461172
36,2432.64156626506,1405.45630099916,83,154.268870827021,2586.91043709208,2278.37269543804,"Q * gaze",2587.56597915918
36,2432.64156626506,1405.45630099916,83,154.268870827021,2586.91043709208,2278.37269543804,"Q + gaze",2494.90450974751
36,2432.64156626506,1405.45630099916,83,154.268870827021,2586.91043709208,2278.37269543804,"softmax(Q)",2404.70450680652
36,2432.64156626506,1405.45630099916,83,154.268870827021,2586.91043709208,2278.37269543804,"softmax(Q * gaze)",2420.67989466911
36,2432.64156626506,1405.45630099916,83,154.268870827021,2586.91043709208,2278.37269543804,"softmax(Q) * gaze",2510.56265959882
36,2432.64156626506,1405.45630099916,83,154.268870827021,2586.91043709208,2278.37269543804,"softmax(Q) + gaze",2402.01112953606
36,2432.64156626506,1405.45630099916,83,154.268870827021,2586.91043709208,2278.37269543804,"softmax(Q + gaze)",2393.2874264981
37,2449.94662650602,1491.99784777135,83,163.768039666833,2613.71466617286,2286.17858683919,"Q",2465.11929586181
37,2449.94662650602,1491.99784777135,83,163.768039666833,2613.71466617286,2286.17858683919,"Q * gaze",2540.64769784602
37,2449.94662650602,1491.99784777135,83,163.768039666833,2613.71466617286,2286.17858683919,"Q + gaze",2423.0024466766
37,2449.94662650602,1491.99784777135,83,163.768039666833,2613.71466617286,2286.17858683919,"softmax(Q)",2384.42607475506
37,2449.94662650602,1491.99784777135,83,163.768039666833,2613.71466617286,2286.17858683919,"softmax(Q * gaze)",2420.17208297148
37,2449.94662650602,1491.99784777135,83,163.768039666833,2613.71466617286,2286.17858683919,"softmax(Q) * gaze",2527.08525386981
37,2449.94662650602,1491.99784777135,83,163.768039666833,2613.71466617286,2286.17858683919,"softmax(Q) + gaze",2409.75505923506
37,2449.94662650602,1491.99784777135,83,163.768039666833,2613.71466617286,2286.17858683919,"softmax(Q + gaze)",2391.59840112194
38,2352.70792682927,1267.52545701539,82,139.974770556927,2492.68269738619,2212.73315627234,"Q",2429.3463072294
38,2352.70792682927,1267.52545701539,82,139.974770556927,2492.68269738619,2212.73315627234,"Q * gaze",2433.18516319817
38,2352.70792682927,1267.52545701539,82,139.974770556927,2492.68269738619,2212.73315627234,"Q + gaze",2397.66658189118
38,2352.70792682927,1267.52545701539,82,139.974770556927,2492.68269738619,2212.73315627234,"softmax(Q)",2367.73189460119
38,2352.70792682927,1267.52545701539,82,139.974770556927,2492.68269738619,2212.73315627234,"softmax(Q * gaze)",2383.44448203092
38,2352.70792682927,1267.52545701539,82,139.974770556927,2492.68269738619,2212.73315627234,"softmax(Q) * gaze",2394.31814249459
38,2352.70792682927,1267.52545701539,82,139.974770556927,2492.68269738619,2212.73315627234,"softmax(Q) + gaze",2338.06296658473
38,2352.70792682927,1267.52545701539,82,139.974770556927,2492.68269738619,2212.73315627234,"softmax(Q + gaze)",2377.43047793529
39,2488.38939759036,1447.03110756789,83,158.832298704251,2647.22169629461,2329.55709888611,"Q",2477.48941612775
39,2488.38939759036,1447.03110756789,83,158.832298704251,2647.22169629461,2329.55709888611,"Q * gaze",2489.22538536469
39,2488.38939759036,1447.03110756789,83,158.832298704251,2647.22169629461,2329.55709888611,"Q + gaze",2421.87353214404
39,2488.38939759036,1447.03110756789,83,158.832298704251,2647.22169629461,2329.55709888611,"softmax(Q)",2380.08398975797
39,2488.38939759036,1447.03110756789,83,158.832298704251,2647.22169629461,2329.55709888611,"softmax(Q * gaze)",2388.4548266303
39,2488.38939759036,1447.03110756789,83,158.832298704251,2647.22169629461,2329.55709888611,"softmax(Q) * gaze",2422.01657063778
39,2488.38939759036,1447.03110756789,83,158.832298704251,2647.22169629461,2329.55709888611,"softmax(Q) + gaze",2354.65449436704
39,2488.38939759036,1447.03110756789,83,158.832298704251,2647.22169629461,2329.55709888611,"softmax(Q + gaze)",2351.23881691786
40,2268.25674698795,1174.68895849187,83,128.93886424692,2397.19561123487,2139.31788274103,"Q",2480.95616087009
40,2268.25674698795,1174.68895849187,83,128.93886424692,2397.19561123487,2139.31788274103,"Q * gaze",2553.83784864888
40,2268.25674698795,1174.68895849187,83,128.93886424692,2397.19561123487,2139.31788274103,"Q + gaze",2476.12089718641
40,2268.25674698795,1174.68895849187,83,128.93886424692,2397.19561123487,2139.31788274103,"softmax(Q)",2317.63420837905
40,2268.25674698795,1174.68895849187,83,128.93886424692,2397.19561123487,2139.31788274103,"softmax(Q * gaze)",2411.96165495752
40,2268.25674698795,1174.68895849187,83,128.93886424692,2397.19561123487,2139.31788274103,"softmax(Q) * gaze",2523.20694417909
40,2268.25674698795,1174.68895849187,83,128.93886424692,2397.19561123487,2139.31788274103,"softmax(Q) + gaze",2373.24631951287
40,2268.25674698795,1174.68895849187,83,128.93886424692,2397.19561123487,2139.31788274103,"softmax(Q + gaze)",2364.1168855533
41,2445.79578313253,1387.26045126596,83,152.271616846172,2598.0673999787,2293.52416628636,"Q",2600.3562208745
41,2445.79578313253,1387.26045126596,83,152.271616846172,2598.0673999787,2293.52416628636,"Q * gaze",2564.69092752823
41,2445.79578313253,1387.26045126596,83,152.271616846172,2598.0673999787,2293.52416628636,"Q + gaze",2476.70741283244
